Id;Unicode;Gardinercode;Symbol
872;U+13367;V1e;𓍧
873;U+13368;V1f;𓍨
874;U+13369;V1g;𓍩
875;U+1336A;V1h;𓍪
876;U+1336B;V1i;𓍫
877;U+1336C;V2;𓍬
878;U+1336D;V2a;𓍭
879;U+1336E;V3;𓍮
880;U+1336F;V4;𓍯
881;U+13370;V5;𓍰
882;U+13371;V6;𓍱
883;U+13372;V7;𓍲
884;U+13373;V7a;𓍳
885;U+13374;V7b;𓍴
886;U+13375;V8;𓍵
887;U+13376;V9;𓍶
888;U+13377;V10;𓍷
889;U+13378;V11;𓍸
890;U+13379;V11a;𓍹
891;U+1337A;V11b;𓍺
892;U+1337B;V11c;𓍻
893;U+1337C;V12;𓍼
894;U+1337D;V12a;𓍽
895;U+1337E;V12b;𓍾
896;U+1337F;V13;𓍿
897;U+13380;V14;𓎀
898;U+13381;V15;𓎁
899;U+13382;V16;𓎂
900;U+13383;V17;𓎃
901;U+13384;V18;𓎄
902;U+13385;V19;𓎅
903;U+13386;V20;𓎆
904;U+13387;V20a;𓎇
905;U+13388;V20b;𓎈
906;U+13389;V20c;𓎉
907;U+1338A;V20d;𓎊
908;U+1338B;V20e;𓎋
909;U+1338C;V20f;𓎌
910;U+1338D;V20g;𓎍
911;U+1338E;V20h;𓎎
912;U+1338F;V20i;𓎏
913;U+13390;V20j;𓎐
914;U+13391;V20k;𓎑
915;U+13392;V20l;𓎒
916;U+13393;V21;𓎓
917;U+13394;V22;𓎔
918;U+13395;V23;𓎕
919;U+13396;V23a;𓎖
920;U+13397;V24;𓎗
921;U+13398;V25;𓎘
922;U+13399;V26;𓎙
923;U+1339A;V27;𓎚
924;U+1339B;V28;𓎛
925;U+1339C;V28a;𓎜
926;U+1339D;V29;𓎝
927;U+1339E;V29a;𓎞
928;U+1339F;V30;𓎟
929;U+133A0;V30a;𓎠
930;U+133A1;V31;𓎡
931;U+133A2;V31a;𓎢
932;U+133A3;V32;𓎣
933;U+133A4;V33;𓎤
934;U+133A5;V33a;𓎥
935;U+133A6;V34;𓎦
936;U+133A7;V35;𓎧
937;U+133A8;V36;𓎨
938;U+133A9;V37;𓎩
939;U+133AA;V37a;𓎪
940;U+133AB;V38;𓎫
941;U+133AC;V39;𓎬
942;U+133AD;V40;𓎭
943;U+133AE;V40a;𓎮
944;U+133AF;W1;𓎯
945;U+133B0;W2;𓎰
946;U+133B1;W3;𓎱
947;U+133B2;W3a;𓎲
948;U+133B3;W4;𓎳
949;U+133B4;W5;𓎴
950;U+133B5;W6;𓎵
951;U+133B6;W7;𓎶
952;U+133B7;W8;𓎷
953;U+133B8;W9;𓎸
954;U+133B9;W9a;𓎹
955;U+133BA;W10;𓎺
956;U+133BB;W10a;𓎻
957;U+133BC;W11;𓎼
958;U+133BD;W12;𓎽
959;U+133BE;W13;𓎾
960;U+133BF;W14;𓎿
961;U+133C0;W14a;𓏀
962;U+133C1;W15;𓏁
963;U+133C2;W16;𓏂
964;U+133C3;W17;𓏃
965;U+133C4;W17a;𓏄
966;U+133C5;W18;𓏅
967;U+133C6;W18a;𓏆
968;U+133C7;W19;𓏇
969;U+133C8;W20;𓏈
970;U+133C9;W21;𓏉
971;U+133CA;W22;𓏊
972;U+133CB;W23;𓏋
973;U+133CC;W24;𓏌
974;U+133CD;W24a;𓏍
975;U+133CE;W25;𓏎
976;U+133CF;X1;𓏏
977;U+133D0;X2;𓏐
978;U+133D1;X3;𓏑
979;U+133D2;X4;𓏒
980;U+133D3;X4a;𓏓
981;U+133D4;X4b;𓏔
982;U+133D5;X5;𓏕
983;U+133D6;X6;𓏖
984;U+133D7;X6a;𓏗
985;U+133D8;X7;𓏘
986;U+133D9;X8;𓏙
987;U+133DA;X8a;𓏚
988;U+133DB;Y1;𓏛
989;U+133DC;Y1a;𓏜
990;U+133DD;Y2;𓏝
991;U+133DE;Y3;𓏞
992;U+133DF;Y4;𓏟
993;U+133E0;Y5;𓏠
994;U+133E1;Y6;𓏡
995;U+133E2;Y7;𓏢
996;U+133E3;Y8;𓏣
997;U+133E4;Z1;𓏤
998;U+133E5;Z2;𓏥
999;U+133E6;Z2a;𓏦
1000;U+133E7;Z2b;𓏧
1001;U+133E8;Z2c;𓏨
1002;U+133E9;Z2d;𓏩
1003;U+133EA;Z3;𓏪
1004;U+133EB;Z3a;𓏫
1005;U+133EC;Z3b;𓏬
1006;U+133ED;Z4;𓏭
1007;U+133EE;Z4a;𓏮
1008;U+133EF;Z5;𓏯
1009;U+133F0;Z5a;𓏰
1010;U+133F1;Z6;𓏱
1011;U+133F2;Z7;𓏲
1012;U+133F3;Z8;𓏳
1013;U+133F4;Z9;𓏴
1014;U+133F5;Z10;𓏵
1015;U+133F6;Z11;𓏶
1016;U+133F7;Z12;𓏷
1017;U+133F8;Z13;𓏸
1018;U+133F9;Z14;𓏹
1019;U+133FA;Z15;𓏺
1020;U+133FB;Z15a;𓏻
1021;U+133FC;Z15b;𓏼
1022;U+133FD;Z15c;𓏽
1023;U+133FE;Z15d;𓏾
1024;U+133FF;Z15e;𓏿
1025;U+13400;Z15f;𓐀
1026;U+13401;Z15g;𓐁
1027;U+13402;Z15h;𓐂
1028;U+13403;Z15i;𓐃
1029;U+13404;Z16;𓐄
1030;U+13405;Z16a;𓐅
1031;U+13406;Z16b;𓐆
1032;U+13407;Z16c;𓐇
1033;U+13408;Z16d;𓐈
1034;U+13409;Z16e;𓐉
1035;U+1340A;Z16f;𓐊
1036;U+1340B;Z16g;𓐋
1037;U+1340C;Z16h;𓐌
1038;U+1340D;Aa1;𓐍
1039;U+1340E;Aa2;𓐎
1040;U+1340F;Aa3;𓐏
1041;U+13410;Aa4;𓐐
1042;U+13411;Aa5;𓐑
1043;U+13412;Aa6;𓐒
1044;U+13413;Aa7;𓐓
1045;U+13414;Aa7a;𓐔
1046;U+13415;Aa7b;𓐕
1047;U+13416;Aa8;𓐖
1048;U+13417;Aa9;𓐗
1049;U+13418;Aa10;𓐘
1050;U+13419;Aa11;𓐙
1051;U+1341A;Aa12;𓐚
1052;U+1341B;Aa13;𓐛
1053;U+1341C;Aa14;𓐜
1054;U+1341D;Aa15;𓐝
1055;U+1341E;Aa16;𓐞
1056;U+1341F;Aa17;𓐟
1057;U+13420;Aa18;𓐠
1058;U+13421;Aa19;𓐡
1059;U+13422;Aa20;𓐢
1060;U+13423;Aa21;𓐣
1061;U+13424;Aa22;𓐤
1062;U+13425;Aa23;𓐥
1063;U+13426;Aa24;𓐦
1064;U+13427;Aa25;𓐧
1065;U+13428;Aa26;𓐨
1066;U+13429;Aa27;𓐩
1067;U+1342A;Aa28;𓐪
1068;U+1342B;Aa29;𓐫
1069;U+1342C;Aa30;𓐬
1070;U+1342D;Aa31;𓐭
1071;U+1342E;Aa32;𓐮
