Id;Unicode;Gardinercode;Symbol
881;U+133C8;W20;𓏈
882;U+133C9;W21;𓏉
883;U+133CA;W22;𓏊
884;U+133CB;W23;𓏋
885;U+133CC;W24;𓏌
886;U+133CD;W24a;𓏍
887;U+133CE;W25;𓏎
888;U+133CF;X1;𓏏
889;U+133D0;X2;𓏐
890;U+133D1;X3;𓏑
891;U+133D2;X4;𓏒
892;U+133D3;X4a;𓏓
893;U+133D4;X4b;𓏔
894;U+133D5;X5;𓏕
895;U+133D6;X6;𓏖
896;U+133D7;X6a;𓏗
897;U+133D8;X7;𓏘
898;U+133D9;X8;𓏙
899;U+133DA;X8a;𓏚
900;U+133DB;Y1;𓏛
901;U+133DC;Y1a;𓏜
902;U+133DD;Y2;𓏝
903;U+133DE;Y3;𓏞
904;U+133DF;Y4;𓏟
905;U+133E0;Y5;𓏠
906;U+133E1;Y6;𓏡
907;U+133E2;Y7;𓏢
908;U+133E3;Y8;𓏣
909;U+133E4;Z1;𓏤
910;U+133E5;Z2;𓏥
911;U+133E6;Z2a;𓏦
912;U+133E7;Z2b;𓏧
913;U+133E8;Z2c;𓏨
914;U+133E9;Z2d;𓏩
915;U+133EA;Z3;𓏪
916;U+133EB;Z3a;𓏫
917;U+133EC;Z3b;𓏬
918;U+133ED;Z4;𓏭
919;U+133EE;Z4a;𓏮
920;U+133EF;Z5;𓏯
921;U+133F0;Z5a;𓏰
922;U+133F1;Z6;𓏱
923;U+133F2;Z7;𓏲
924;U+133F3;Z8;𓏳
925;U+133F4;Z9;𓏴
926;U+133F5;Z10;𓏵
927;U+133F6;Z11;𓏶
928;U+133F7;Z12;𓏷
929;U+133F8;Z13;𓏸
930;U+133F9;Z14;𓏹
931;U+13404;Z16;𓐄
932;U+13405;Z16a;𓐅
933;U+13406;Z16b;𓐆
934;U+1340D;Aa1;𓐍
935;U+1340E;Aa2;𓐎
936;U+1340F;Aa3;𓐏
937;U+13410;Aa4;𓐐
938;U+13411;Aa5;𓐑
939;U+13412;Aa6;𓐒
940;U+13413;Aa7;𓐓
941;U+13414;Aa7a;𓐔
942;U+13415;Aa7b;𓐕
943;U+13416;Aa8;𓐖
944;U+13417;Aa9;𓐗
945;U+13418;Aa10;𓐘
946;U+13419;Aa11;𓐙
947;U+1341A;Aa12;𓐚
948;U+1341B;Aa13;𓐛
949;U+1341C;Aa14;𓐜
950;U+1341D;Aa15;𓐝
951;U+1341E;Aa16;𓐞
952;U+1341F;Aa17;𓐟
953;U+13420;Aa18;𓐠
954;U+13421;Aa19;𓐡
955;U+13422;Aa20;𓐢
956;U+13423;Aa21;𓐣
957;U+13424;Aa22;𓐤
958;U+13425;Aa23;𓐥
959;U+13426;Aa24;𓐦
960;U+13427;Aa25;𓐧
961;U+13428;Aa26;𓐨
962;U+13429;Aa27;𓐩
963;U+1342A;Aa28;𓐪
964;U+1342B;Aa29;𓐫
965;U+1342C;Aa30;𓐬
966;U+1342D;Aa31;𓐭
967;U+1342E;Aa32;𓐮
